epoch,train_loss,eval_loss,eval_top1,eval_top5
177,2.9204962336100064,1.100834375,73.29,93.14
178,2.864252283328619,1.08781015625,73.31,93.59
179,2.898138185342153,1.06268125,73.51,93.61
180,2.870120965517484,1.08646171875,73.36,93.4
181,2.8676082155643363,1.08591953125,73.33,93.33
182,2.8083143934225423,1.09625,73.8,93.26
183,2.8375546002999332,1.03169296875,74.23,93.47
184,2.8523124328026404,1.08331328125,73.86,93.41
185,2.8064642597467473,1.0560125,73.84,93.34
186,2.814771229487199,1.0380140625,74.27,93.53
187,2.8297241168144422,1.04088828125,73.77,93.4
188,2.809908240575057,1.05304765625,73.95,93.44
189,2.8527678602781052,1.0301015625,74.31,93.69
190,2.8185610948464808,1.0355796875,74.56,93.66
191,2.810104501553071,1.0300046875,74.18,93.74
192,2.8246947722557265,1.07816640625,74.35,93.45
193,2.819487129419278,1.043759375,74.57,93.86
194,2.8198195433005306,1.063909375,74.22,93.36
195,2.794254414546184,1.0390515625,74.76,93.77
196,2.7953160230930036,1.03193046875,74.41,93.62
197,2.8134756604830424,1.03080390625,74.9,93.81
198,2.800825301194802,1.0607953125,74.53,93.74
199,2.8008461472315664,1.0534890625,74.81,93.86
200,2.822822964191437,1.0672515625,75.02,93.77
201,2.796597283925766,1.0198,75.04,93.76
202,2.790555646786323,1.02758046875,74.97,93.66
203,2.8171390753525953,1.05058203125,74.86,93.93
204,2.766830195219089,1.06293203125,74.91,93.56
205,2.7596443188496127,1.03622265625,75.28,93.88
206,2.786055515668331,1.0105796875,75.33,93.92
207,2.769344711303711,1.0097828125,75.38,93.92
208,2.7571369348428187,1.03854140625,75.4,93.63
209,2.8064425550974335,1.02523515625,75.6,93.8
210,2.7922317089178623,1.0505125,75.03,93.8
211,2.7553951104482013,1.01821953125,75.79,93.87
212,2.757106619920486,0.99414296875,75.62,94.06
213,2.702788121272356,1.03163046875,75.06,93.95
214,2.8201970568070043,1.061059375,75.58,93.88
215,2.7262203283799002,1.02510859375,75.32,93.89
216,2.747554052793063,1.01040625,75.33,94.09
217,2.7549722301654325,0.9940625,75.82,94.08
218,2.7751982502448254,1.0009890625,75.55,94.15
219,2.780833834868211,1.0305453125,75.27,93.97
220,2.75522986528201,0.98837734375,75.53,94.13
221,2.7492357342671125,0.98700546875,75.98,94.0
222,2.716169453584231,0.9972640625,75.89,94.28
223,2.754707702000936,0.9981953125,75.76,94.23
224,2.7201968079958205,0.99622109375,76.05,94.36
225,2.7723242771931185,0.99105078125,76.02,94.19
226,2.6583505985064386,0.95479296875,76.31,94.65
227,2.696717519026536,1.0378625,76.05,94.05
228,2.7501814753581315,0.98148046875,76.37,94.25
229,2.669630705087613,0.96350234375,76.89,94.25
230,2.713270944204086,0.9877265625,76.33,94.17
231,2.7269679289597732,0.96968046875,76.32,94.23
232,2.7218861115284456,1.0012765625,76.43,94.13
233,2.726917759883098,0.96709140625,76.64,94.42
234,2.7384308454317923,0.97691640625,76.51,94.22
235,2.7327749463228077,0.98754375,76.61,94.37
236,2.693342122664818,0.97855625,76.17,94.27
237,2.7246581328220856,0.98488828125,76.53,94.2
238,2.6549162971667752,0.9755359375,76.71,94.48
239,2.7079360561493115,0.99198046875,76.46,94.35
240,2.669712978448623,0.97631328125,76.73,94.34
241,2.6714905821360073,0.96478046875,77.21,94.3
242,2.670313350053934,0.94707578125,76.82,94.42
243,2.70983650073027,0.98248984375,76.55,94.4
244,2.7166396006559714,0.99818984375,76.86,94.46
245,2.6782672472489186,0.9773046875,76.76,94.41
246,2.654623694297595,0.960475,76.69,94.56
247,2.6830528137011407,0.97531328125,76.85,94.52
248,2.6833494186401365,0.97046484375,76.97,94.53
