epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.616083164704151,4.59659375,1.5,6.41
1,4.514890444584382,4.156725,8.27,27.64
2,4.404135427719507,3.917575,12.7,34.18
3,4.342428986231486,3.734403125,15.16,41.19
4,4.2738545570618065,3.517525,18.16,46.35
5,4.210827466157767,3.32085,22.97,53.53
6,4.150445237526527,3.146040625,26.06,58.67
7,4.107526644682273,3.061521875,27.7,58.88
8,4.078650835844186,2.9670375,28.54,60.69
9,4.027577376365661,2.81573125,32.73,65.33
10,4.008649426851517,2.787240625,32.95,65.37
11,3.9688515479748068,2.702534375,35.29,67.5
12,3.912667058675717,2.57711875,37.68,69.8
13,3.884582560490339,2.458128125,40.21,72.22
14,3.805578865760412,2.317884375,41.69,74.18
15,3.7986285876005126,2.285425,43.45,75.94
16,3.757811208871695,2.235409375,45.51,77.12
17,3.736292642202133,2.198040625,46.35,77.56
18,3.7020603308310878,2.070975,48.14,80.28
19,3.6628968379436393,1.9841484375,50.32,80.66
20,3.655846964395963,1.99384375,50.8,81.32
21,3.6209796184148546,2.0039703125,50.17,81.2
22,3.6282432751777844,2.010334375,51.68,81.22
23,3.580869941222362,1.8748328125,53.86,82.84
24,3.574043215238131,1.8224984375,54.09,84.09
25,3.566303291076269,1.910896875,53.24,82.49
26,3.511448094783685,1.781996875,55.82,84.02
27,3.5025047393945545,1.8146546875,54.61,83.48
28,3.4598492860794066,1.79853125,55.61,83.85
29,3.484254195751288,1.7162765625,56.99,85.23
30,3.47568063552563,1.757525,57.89,85.39
31,3.447239077396882,1.6947609375,57.92,86.19
32,3.4557534113908424,1.6408375,58.65,86.36
33,3.385510861567962,1.6367328125,59.42,86.51
34,3.4316795501953514,1.6061421875,60.64,87.54
35,3.383195842229403,1.526696875,61.27,87.52
36,3.3985510636598635,1.577703125,60.04,87.09
37,3.395470266464429,1.5765234375,61.12,87.55
38,3.350701865171775,1.5510421875,61.86,87.82
39,3.3240768866661266,1.5556859375,61.01,88.02
40,3.354495664131947,1.5967203125,61.24,87.52
41,3.3048709148015734,1.4938375,62.21,88.15
42,3.295989413139148,1.456371875,62.93,88.37
43,3.2954221517611773,1.4854953125,63.6,88.64
44,3.313963650434445,1.465146875,62.85,88.75
45,3.2880231924546073,1.4768421875,62.97,88.82
46,3.3027235495738494,1.459290625,63.89,88.7
47,3.266822105798966,1.431640625,64.95,89.53
48,3.2463451593350143,1.395125,64.04,89.26
49,3.2499558956195145,1.4572671875,65.56,89.38
50,3.2295801205512804,1.4312703125,64.25,89.2
51,3.204886625974606,1.3666203125,66.1,90.08
52,3.216746841944181,1.4469703125,65.32,89.44
53,3.1965660620958376,1.3415125,65.69,90.03
54,3.2140954378323676,1.422128125,65.76,89.81
55,3.1720275970605702,1.3814796875,66.16,90.49
56,3.1996173253426186,1.2983953125,67.09,90.75
57,3.215947830982697,1.4448578125,66.22,89.87
58,3.170853009590736,1.3010390625,67.63,90.98
59,3.2027663230895995,1.326959375,67.28,90.3
60,3.171808076821841,1.298490625,66.91,90.26
61,3.1718160934937307,1.3508796875,67.46,90.71
62,3.153753009820596,1.2673296875,67.9,91.24
63,3.1301169178424737,1.305821875,67.64,90.72
64,3.115527844734681,1.351621875,67.11,90.31
65,3.1409521616422214,1.2990125,67.23,90.74
66,3.1375099695645847,1.29158125,68.1,91.07
67,3.135113687392993,1.2826953125,67.87,91.28
68,3.1043929879481977,1.265675,68.49,91.31
69,3.0858759155640234,1.248378125,68.88,91.32
70,3.1478106083014072,1.18143125,69.96,91.95
71,3.0769294744882827,1.2445671875,69.18,91.35
72,3.0940795268767918,1.219853125,69.85,92.06
73,3.0682701963644763,1.2058671875,69.41,91.62
74,3.088832940199436,1.24524375,69.96,92.09
75,3.128514564037323,1.2878203125,69.54,91.78
76,3.070954215832246,1.2102328125,70.03,91.83
77,3.0833142534280435,1.2185765625,70.42,91.72
78,3.0641215541423894,1.219825,70.27,91.71
79,3.0333908949142847,1.22570625,69.3,91.38
80,3.0070443199231076,1.2105265625,70.47,91.8
81,3.025675084652045,1.2430796875,70.62,92.2
82,3.0449713927048903,1.2439984375,70.01,91.93
83,3.0958404852793766,1.2006453125,70.6,92.18
84,3.0075848625256465,1.2318609375,69.93,91.59
85,3.034906404140668,1.2325296875,70.25,91.76
86,2.9595096368056075,1.2755,70.01,91.58
87,3.0237298292991444,1.20369375,70.81,92.17
88,3.0127745842322327,1.150996875,71.15,92.44
89,2.9430182511989886,1.13255,71.48,92.56
90,2.990967897879772,1.2223796875,71.74,92.56
91,3.0233629804391127,1.190228125,70.88,92.16
92,3.021410508033557,1.1959015625,71.35,92.33
93,2.975309073008024,1.1365296875,72.53,92.98
94,2.9985101932134386,1.13581875,72.31,92.88
95,3.0076307128637265,1.1585078125,71.72,92.78
96,2.9943575400572557,1.2468265625,71.61,92.31
97,2.9386545853737074,1.1242640625,71.7,92.86
98,2.922942545475104,1.13589453125,71.69,92.59
99,2.928826502347604,1.1539953125,72.21,92.86
100,2.9582443350400682,1.1051390625,72.37,92.71
101,2.9524630745251974,1.15652109375,72.99,92.76
102,2.9332430032583385,1.1144953125,72.47,93.03
103,2.9407684249755666,1.1165234375,72.59,92.59
104,2.967948347482926,1.12796015625,73.31,93.18
105,2.9428383796642987,1.11630546875,72.5,93.47
106,2.932207023486113,1.1260765625,72.2,92.56
107,2.8848955099399274,1.161425,72.4,92.66
108,2.866445330778758,1.116996875,73.11,93.51
109,2.9057068341817613,1.0444140625,73.67,93.38
110,2.8866710088191887,1.0837953125,72.76,92.72
111,2.9147469966839523,1.13162421875,72.7,92.7
112,2.849653751727862,1.03748828125,74.1,93.29
113,2.8920319627492854,1.10275390625,72.77,93.08
114,2.898461631933848,1.1455671875,73.98,92.85
115,2.9150140282435295,1.102178125,73.19,93.14
116,2.879708044651227,1.119325,73.85,93.55
117,2.8696815417363095,1.1073953125,74.3,93.61
118,2.8800137675725495,1.1218015625,73.86,93.29
119,2.823315680027008,1.0909671875,73.81,93.36
120,2.839435884891412,1.0232390625,74.5,93.5
121,2.8603582152953515,1.16178125,73.74,93.61
122,2.8411195455453333,1.1101046875,73.29,93.02
123,2.8057436884977878,1.0598015625,74.54,93.65
124,2.7958144732010672,1.0608046875,74.58,94.02
125,2.827921723096799,1.0820515625,74.76,93.75
126,2.8534118523964516,1.0535578125,74.05,93.55
127,2.8025804648032557,1.0842046875,74.25,93.44
128,2.888518295226953,1.05244296875,74.42,93.67
129,2.7748190485514126,1.06064140625,74.87,93.72
130,2.8677209209173156,1.0510234375,74.85,93.88
131,2.7725435434243617,1.0288859375,74.98,93.86
132,2.7754398972560197,1.106996875,74.53,93.91
133,2.8149791579980117,1.15696328125,73.75,93.38
134,2.8027368083978312,1.071690625,74.55,93.66
135,2.79288291656054,1.044175,74.71,93.74
136,2.764587141611637,1.0226953125,75.55,94.17
137,2.825460092532329,1.05776875,75.05,94.04
138,2.816332743106744,1.0948734375,75.23,93.54
139,2.7947269280751548,1.0279421875,75.52,94.11
140,2.7423262339371903,1.01055234375,75.61,94.27
141,2.7818609369106784,1.0404,75.35,93.66
142,2.7273220942570613,1.01644296875,75.29,93.92
143,2.7681546333508615,1.0346125,75.36,93.88
144,2.7720161019227443,1.03495859375,75.67,93.81
145,2.755214755351727,1.04201953125,75.51,93.79
146,2.7573131558222648,1.06128515625,75.44,93.97
147,2.739291777671912,1.021315625,75.69,94.17
148,2.7856531898180643,1.0605484375,75.4,94.04
149,2.7513525916979864,1.03749921875,75.7,94.05
150,2.7306622966741902,1.0405078125,76.35,93.83
151,2.765117769669264,1.00335078125,75.94,94.07
152,2.689415178849147,0.98436015625,76.15,94.07
153,2.7273302069077126,1.03133203125,76.49,94.59
154,2.7138381936611276,1.0115109375,76.02,94.4
155,2.7290336807568867,0.9931546875,76.34,94.42
156,2.7057903965314227,0.97074375,75.93,94.27
157,2.708695874764369,0.96634765625,76.15,94.36
158,2.6835235283924983,1.00836328125,76.43,94.11
159,2.7033641955791374,0.9766171875,76.74,94.28
160,2.676796853542328,0.996890625,76.25,94.37
161,2.65397835786526,1.02796171875,76.56,94.13
162,2.6727586880708354,0.9714546875,77.09,94.63
163,2.6716615062493543,0.99651953125,76.68,94.35
164,2.653189977621421,0.98168203125,77.32,94.61
165,2.6873666778588907,0.95297265625,77.1,94.54
166,2.6546151228440116,0.951478125,77.79,94.71
167,2.672096796830495,0.99995859375,76.84,94.46
168,2.5958950663224245,0.9746984375,77.08,94.56
169,2.6652718378947333,0.9962546875,76.84,94.38
170,2.683912574327909,0.96941953125,77.51,94.66
171,2.6756067123168554,0.9679765625,77.66,94.54
172,2.658811619037237,0.997815625,76.99,94.3
173,2.68330264549989,0.97174453125,77.23,94.64
174,2.610434633646256,0.974221875,77.0,94.88
175,2.6479788502057393,0.95492421875,77.87,94.62
176,2.630649226751083,0.9548265625,78.04,94.59
