epoch,train_loss,eval_loss,eval_top1,eval_top5
40,1.7778265953063965,0.8415546875,75.49,98.24
41,1.7781931394185775,0.8816859375,75.01,98.23
42,1.751520465581845,0.8793109375,76.47,98.33
43,1.7587839365005493,0.79674453125,77.67,98.54
44,1.7621679376333188,0.77928046875,78.11,98.51
45,1.7625280685913869,0.8044640625,77.59,98.52
46,1.7556819072136511,0.77442578125,77.84,98.45
47,1.7602176654033173,0.76273515625,78.91,98.4
48,1.743302221175952,0.75794453125,79.15,98.57
49,1.7458834605339246,0.7753734375,79.77,98.7
50,1.7257341015033232,0.8256953125,76.55,98.18
51,1.725358823629526,0.80176640625,78.89,98.55
52,1.741116513350071,0.73608671875,78.29,98.69
53,1.7259281922609377,0.71820078125,80.42,98.81
54,1.7286733119915694,0.7611203125,79.83,98.46
55,1.7224935488823132,0.7586828125,79.47,98.72
56,1.7077621386601374,0.74240625,79.49,98.72
57,1.7152625334568512,0.73827265625,80.48,99.05
58,1.7211859858953036,0.78251796875,80.47,98.7
59,1.7123981870137728,0.69176015625,80.75,98.88
60,1.682580578327179,0.664353125,81.23,99.01
61,1.6975433789766752,0.7117578125,81.59,98.73
62,1.6987505527643056,0.7059375,81.7,98.81
63,1.6999466098271883,0.70809921875,81.79,99.04
64,1.7051368150955593,0.64476875,82.5,98.9
65,1.6873450276179192,0.70053203125,80.93,98.82
66,1.6918669034273197,0.716078125,81.21,99.01
67,1.6901161056298477,0.65247421875,81.59,99.06
68,1.688273983123975,0.70150546875,81.51,98.78
69,1.6792361152477753,0.6444953125,82.11,99.11
70,1.681791274669843,0.67452734375,81.43,98.97
71,1.6819694622969017,0.6881234375,81.72,98.85
72,1.6763256800480377,0.6394640625,83.6,98.96
73,1.6627743745461487,0.644890625,82.76,99.06
74,1.6807763390052013,0.67160625,82.23,98.87
75,1.6407648166020712,0.65534921875,82.54,99.08
76,1.6803650541183277,0.65061015625,83.33,99.04
77,1.6670859165680714,0.63320390625,83.39,99.09
78,1.6826691083419016,0.62821953125,84.1,99.15
79,1.6400794417430193,0.6358578125,83.04,98.94
80,1.6617179733056289,0.66210546875,82.88,99.07
81,1.6588484794665606,0.61013828125,84.1,99.15
82,1.656019488053444,0.64381640625,84.19,99.29
83,1.6590176249161745,0.6175265625,83.77,99.12
84,1.6302446906383221,0.592315625,84.18,99.17
85,1.6270368123665835,0.612934375,83.47,99.07
86,1.641474096591656,0.6460484375,83.98,99.11
87,1.6574657400449118,0.616553125,84.43,99.25
88,1.6490896228032235,0.590888671875,84.15,99.31
89,1.6472577574925544,0.6105765625,84.05,99.23
90,1.6317167288217789,0.569548828125,84.56,99.16
91,1.6381955571663684,0.59783671875,83.61,99.2
92,1.6454964267901886,0.63812734375,84.49,99.22
93,1.6177337964375813,0.61802109375,84.78,99.24
94,1.6228558806272653,0.594071875,85.08,99.18
95,1.6256694099841973,0.617525,85.71,99.15
96,1.6102537411909836,0.58248828125,85.08,99.21
97,1.6352895522728945,0.60537890625,85.14,99.3
98,1.611289379841242,0.545101953125,86.34,99.31
99,1.6130288469485747,0.5261640625,86.17,99.29
100,1.6142079860736163,0.63313984375,84.62,99.25
101,1.6095557695780045,0.5454625,86.05,99.31
102,1.590573274019437,0.5755640625,85.56,99.38
103,1.6032006865892654,0.55793671875,85.72,99.31
104,1.5868850570458632,0.56529609375,86.42,99.33
105,1.5875031512517195,0.571369140625,85.87,99.3
106,1.618628489971161,0.617503125,85.77,99.19
107,1.5875807091211662,0.576596875,86.73,99.45
108,1.6013796375348017,0.534816796875,86.77,99.47
109,1.5758699793082016,0.523333203125,86.95,99.36
110,1.5913613753441052,0.56998359375,86.89,99.44
111,1.6043369056322636,0.546054296875,87.17,99.42
112,1.5823332583292937,0.55241640625,87.01,99.3
113,1.57911718136225,0.509462890625,87.18,99.61
114,1.574034170462535,0.544584375,87.33,99.4
115,1.5565125451638149,0.532721875,86.31,99.42
116,1.5632721502047318,0.490640625,87.33,99.51
117,1.574620645474165,0.53832734375,87.56,99.47
118,1.542992364596098,0.511378125,87.84,99.51
119,1.5705562535004738,0.550126171875,87.2,99.42
120,1.5832950830459596,0.50821328125,87.84,99.48
121,1.572792773369031,0.55548125,87.72,99.39
122,1.5615513084790646,0.51621328125,88.19,99.5
123,1.5462567975887886,0.52799375,86.84,99.36
124,1.5740870361144725,0.57828671875,87.72,99.41
125,1.5821328710287046,0.527882421875,87.75,99.45
126,1.5789980844045297,0.49587109375,88.75,99.57
127,1.5469955118802878,0.5090859375,87.66,99.41
128,1.5557211244717621,0.466976171875,89.01,99.59
129,1.561300312097256,0.500458984375,88.41,99.53
130,1.5384881189236275,0.487712109375,87.06,99.53
131,1.5731022171485118,0.481254296875,89.16,99.6
132,1.5280569995060944,0.527734765625,88.59,99.51
133,1.5383880661084102,0.503783984375,88.46,99.47
134,1.563099025304501,0.485975390625,88.4,99.42
135,1.5736779384123973,0.493242578125,88.55,99.54
136,1.558933881460092,0.480430078125,88.53,99.57
137,1.5503659535677006,0.510190625,88.65,99.54
138,1.543249081953978,0.5144765625,88.55,99.43
139,1.5315765772110377,0.507,89.28,99.55
140,1.5430733871765625,0.50588828125,88.88,99.58
141,1.533928749194512,0.49347421875,89.67,99.51
142,1.5291387423490868,0.46451328125,89.16,99.63
143,1.5334836652645698,0.48678125,89.0,99.54
144,1.4963495026796292,0.478874609375,88.59,99.5
145,1.532219202701862,0.50113203125,89.35,99.47
146,1.5474486746849159,0.471237890625,89.4,99.59
147,1.5326703251936498,0.506247265625,89.27,99.55
148,1.5146310515892811,0.446522265625,89.72,99.73
149,1.5129076754435515,0.49079140625,89.32,99.59
150,1.5287655014258164,0.45873046875,89.95,99.54
151,1.5086466174859268,0.433235546875,90.06,99.69
152,1.510195538172355,0.4466484375,89.88,99.54
153,1.490778680642446,0.457455859375,90.22,99.68
154,1.5227458542738206,0.434025390625,90.33,99.63
155,1.5066076258818308,0.47183515625,90.21,99.64
156,1.4963592867056528,0.42411171875,89.99,99.76
157,1.4872584365881407,0.45603671875,90.01,99.61
158,1.5104124194536455,0.452438671875,90.6,99.58
159,1.5186584625488673,0.431143359375,90.9,99.63
160,1.5324547761525864,0.457740625,90.57,99.58
161,1.509304248369657,0.431949609375,90.46,99.6
162,1.486294265740957,0.455174609375,90.72,99.52
163,1.4597805568805107,0.4312203125,90.13,99.66
164,1.4620413983479523,0.4320875,90.05,99.72
165,1.4877409873864589,0.44441171875,90.62,99.61
166,1.4741221382067753,0.419041796875,90.31,99.66
167,1.4649040000560956,0.4334390625,90.53,99.7
168,1.4808764358361561,0.433062890625,90.66,99.62
169,1.5142473662510896,0.4561421875,91.05,99.67
170,1.4752959861205175,0.41654375,90.87,99.58
171,1.4633674539052524,0.42144453125,91.52,99.61
172,1.4862140100735886,0.459174609375,90.77,99.48
173,1.4997630224778102,0.444933203125,91.14,99.71
174,1.503066308834614,0.448803125,90.88,99.61
175,1.4796742439270019,0.4356796875,90.5,99.53
176,1.4760178646980189,0.406640234375,91.62,99.76
177,1.4647889184646117,0.430440625,90.96,99.67
178,1.4842907794010944,0.424400390625,91.34,99.66
179,1.4742873580027849,0.42543515625,91.49,99.69
180,1.455996293746508,0.4263,91.48,99.76
181,1.4490430981684954,0.38663125,91.37,99.62
182,1.4751069212571168,0.38761875,91.3,99.66
183,1.4592608126310203,0.40812109375,91.77,99.68
184,1.4691247848364024,0.42026484375,91.33,99.68
185,1.4551463622313279,0.404065234375,91.36,99.71
186,1.4815778191273028,0.436961328125,91.51,99.67
187,1.449999226973607,0.38788359375,91.66,99.72
188,1.4757453163464864,0.407676171875,91.58,99.67
189,1.4682966492114924,0.408803515625,91.81,99.71
190,1.4504427076914372,0.3805390625,91.68,99.74
191,1.4542853763470283,0.398950390625,92.02,99.7
192,1.4599531847697038,0.4040375,91.93,99.73
193,1.450148861683332,0.4048578125,91.76,99.66
194,1.4569679674429772,0.381173828125,92.08,99.74
195,1.450951976959522,0.39198203125,91.88,99.67
196,1.4552740651827591,0.411869921875,91.66,99.65
197,1.46499079144918,0.373891015625,92.27,99.67
198,1.4390993601236588,0.37881171875,92.03,99.69
199,1.4310459884313436,0.357991015625,92.31,99.79
200,1.4125931185025435,0.378187890625,92.17,99.72
201,1.4389859334016457,0.400687109375,92.55,99.73
202,1.4371529787014692,0.391017578125,92.33,99.73
203,1.4429691906158741,0.380872265625,92.06,99.73
204,1.413972265445269,0.3826416015625,92.15,99.75
205,1.4329912752677232,0.37529765625,92.61,99.76
206,1.4434742432374221,0.3838765625,92.39,99.76
207,1.459210761082478,0.400228125,92.46,99.67
208,1.4414639605925634,0.390332421875,92.52,99.75
209,1.4196370240969536,0.38161328125,92.7,99.75
210,1.4213663105781262,0.4018734375,92.49,99.75
211,1.4113681693871816,0.35088984375,92.94,99.79
212,1.4280254137821686,0.3828453125,92.2,99.72
213,1.4435754236502525,0.37092890625,92.96,99.71
214,1.4430854653700804,0.378573828125,92.67,99.71
215,1.4221118028347308,0.369882421875,92.9,99.78
216,1.4036136040320764,0.36381796875,92.6,99.69
217,1.413396164851311,0.3695044921875,92.73,99.75
218,1.4202000941985693,0.3618640625,92.87,99.8
219,1.4060640267836741,0.37093671875,92.58,99.74
220,1.411351683200934,0.35166875,92.79,99.78
221,1.4134939601788155,0.363101953125,92.92,99.78
222,1.412429696168655,0.38744921875,92.83,99.77
223,1.4229884051359616,0.38841875,92.87,99.75
224,1.38959926932286,0.352222265625,92.89,99.76
225,1.4127144813537598,0.339932421875,93.26,99.76
226,1.411316784681418,0.391033984375,93.04,99.72
227,1.3997360220322241,0.353228515625,92.88,99.8
228,1.4045869896045098,0.35168515625,93.0,99.74
229,1.4232934497869931,0.3601748046875,93.03,99.78
230,1.3984402988201532,0.384528515625,92.92,99.83
231,1.429450289102701,0.36719375,93.27,99.81
232,1.4007267141953492,0.347825390625,93.17,99.77
233,1.4059401528957562,0.36523671875,93.35,99.79
234,1.3946622836284148,0.3673375,93.19,99.74
235,1.4064164456648705,0.35807109375,93.4,99.8
236,1.4029531653110798,0.36806953125,93.43,99.77
237,1.3946687991802509,0.34649375,93.19,99.79
238,1.3831830205061497,0.365649609375,93.43,99.79
239,1.4153343235835052,0.350029296875,93.27,99.78
240,1.4019721792294428,0.3491828125,93.47,99.83
241,1.3752349246770907,0.327680859375,93.47,99.82
242,1.3967105235808934,0.353775,93.72,99.84
243,1.3893441058122196,0.348059765625,93.47,99.75
244,1.3925972366944337,0.3352419921875,93.71,99.78
245,1.402643463244805,0.37072890625,93.32,99.75
246,1.3955883296636435,0.330690234375,93.6,99.77
247,1.3970460801552504,0.3478140625,93.67,99.78
248,1.417404644153057,0.3468890625,93.54,99.77
249,1.3718154248518821,0.329153125,93.72,99.78
250,1.4045657484959333,0.349995703125,93.72,99.73
251,1.3818591571771182,0.33651171875,93.75,99.76
252,1.4316005861147856,0.35666875,93.73,99.78
253,1.396809256840975,0.368474609375,93.62,99.79
254,1.388316606099789,0.33135546875,93.94,99.79
255,1.3720911851296058,0.34700234375,93.5,99.81
256,1.390399940808614,0.347070703125,93.71,99.79
257,1.3722773287540828,0.351006640625,93.91,99.79
258,1.361885485282311,0.343030078125,93.62,99.77
259,1.4070845367052616,0.342640625,93.88,99.76
260,1.3671560926315112,0.33605546875,93.79,99.78
