epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.259700537339235,2.070028125,28.04,81.45
1,2.18003598176516,1.800896875,35.94,87.37
2,2.1335362232648407,1.734434375,38.43,88.51
3,2.091759892916068,1.552925,48.6,92.02
4,2.0567184711113953,1.4404765625,52.04,93.8
5,2.0268315944916164,1.3784796875,54.32,94.57
6,1.9847887378472548,1.2814046875,58.49,95.47
7,1.9779254671854851,1.278121875,58.79,95.65
8,1.971656576792399,1.2526078125,61.54,95.17
9,1.9367505599290897,1.237240625,61.99,96.49
10,1.9257774126835359,1.197503125,60.4,95.93
11,1.9148380499619704,1.1492765625,66.09,97.01
12,1.8991026915036715,1.0254484375,69.22,97.67
13,1.8867359567911197,1.086796875,68.27,96.77
14,1.8836500785289667,1.0553953125,70.01,97.5
15,1.8439358543127011,1.05440546875,69.52,97.42
16,1.8560074913196074,0.98821796875,70.54,97.78
17,1.8298507042420216,0.96597734375,73.09,97.8
18,1.8236490766207376,0.8736359375,74.7,98.4
19,1.8088947091347132,0.92075078125,74.46,98.13
20,1.8065854992621984,0.88646640625,76.13,98.43
21,1.784462001384833,0.8495140625,75.06,98.2
22,1.7855698111729743,0.84306015625,76.3,98.48
23,1.7791315711461582,0.84244453125,77.18,98.6
24,1.768489390764481,0.85288359375,76.98,98.13
25,1.753288812820728,0.79839609375,78.34,98.72
26,1.7446826198162178,0.82550625,77.18,98.15
27,1.7546197585570507,0.7891109375,79.19,98.81
28,1.7316282293735406,0.74840078125,78.7,98.69
29,1.7394457462506416,0.74693671875,79.98,98.84
30,1.7199955203594306,0.7068859375,82.2,98.99
31,1.7417135461782798,0.72223671875,81.5,98.83
32,1.700593940111307,0.68565390625,81.85,98.92
33,1.7087739675472944,0.69942421875,81.49,98.91
34,1.6886145643698864,0.7102359375,82.73,99.03
35,1.7123442741540762,0.7982921875,79.05,98.27
36,1.7103000264901382,0.67851796875,81.39,98.51
37,1.688625738559625,0.712546875,81.58,99.0
38,1.6808331018839127,0.77167421875,79.83,98.58
39,1.679860356832162,0.72001796875,82.83,99.07
40,1.6525993668116057,0.701575,81.76,98.98
41,1.663227886114365,0.671303125,84.04,99.12
42,1.6540767791943671,0.64185625,82.36,98.84
43,1.6459011942912372,0.64579296875,84.32,99.24
44,1.646336453083234,0.61945546875,84.23,99.18
45,1.6561369513854003,0.62391796875,85.19,99.34
46,1.6513280706527906,0.6853625,83.55,99.04
47,1.631690772680136,0.6247125,85.59,99.27
48,1.6702369671601516,0.64044609375,84.53,99.03
49,1.6488059584911052,0.66317734375,85.06,99.15
50,1.64104158725494,0.6279046875,84.73,99.04
51,1.6310023644031622,0.70044296875,84.23,99.05
52,1.6216810684937697,0.592163671875,84.38,99.11
53,1.637862810721764,0.58498359375,85.66,99.1
54,1.6152952750523886,0.5713609375,86.15,99.39
55,1.6130317901953672,0.63356171875,85.68,99.27
56,1.6131335478562576,0.601438671875,86.02,99.33
57,1.6226093533711556,0.63465,85.78,99.18
58,1.6066456631208077,0.573709375,85.88,99.33
59,1.610841816969407,0.5700265625,87.26,99.45
60,1.6132167912446536,0.574846875,87.26,99.27
61,1.61306449113748,0.563441015625,87.24,99.42
62,1.591849503150353,0.57576015625,86.57,99.3
63,1.6011851815076974,0.5718140625,87.21,99.45
64,1.5843350037550314,0.561952734375,87.09,99.28
65,1.5741390391802177,0.54539140625,87.87,99.43
66,1.5822527419298122,0.533171484375,87.22,99.46
67,1.5877485533555349,0.522917578125,87.25,99.3
68,1.58616478901643,0.5171203125,88.31,99.35
69,1.5738694794667072,0.540314453125,88.13,99.41
70,1.5551815309585668,0.5535859375,87.82,99.41
71,1.5695672831474206,0.5686421875,87.97,99.35
72,1.5583303919205298,0.58721640625,87.28,99.47
73,1.562632254148141,0.524959375,88.52,99.52
74,1.573178892257886,0.511341796875,88.68,99.68
75,1.5767497382102869,0.52631484375,88.2,99.43
76,1.5694699429548704,0.529484765625,88.68,99.5
77,1.5635915866264931,0.535398828125,88.87,99.52
78,1.5601130060660533,0.553772265625,88.5,99.42
79,1.5459634890923133,0.524068359375,89.16,99.55
80,1.550656927243257,0.4849171875,88.65,99.46
81,1.5834710952563165,0.510052734375,88.84,99.52
82,1.556925402696316,0.4673609375,88.91,99.46
83,1.5608468291087028,0.5127015625,89.62,99.55
84,1.5550533744005057,0.456236328125,90.43,99.57
85,1.5533657188598926,0.48862421875,89.29,99.5
86,1.5730384487372178,0.4751953125,88.92,99.53
